sample_id,metabarcoding_id,plant,sample,plant_block,day,treatment,treatment_bag_number,empty_bag_g,prey_mass_g,delta_prey_percent,chitinase_uM_min,cumulative_chit,protease_nM_min,cumulative_prot,flow_cyt_livingevents_uL,flow_cyt_totalevents_uL,pH,dna_con_ug_ml
P01_0,exp4_1_DAY0,P01,1,1,0,ant,6,0.1114,0.0533,0.176360225,NA,NA,NA,NA,NA,NA,NA,NA
P02_0,exp4_2_DAY0,P02,2,1,0,pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P03_0,exp4_3_DAY0,P03,3,1,0,beetle,14,0.1136,0.0545,0.188990826,NA,NA,NA,NA,NA,NA,NA,NA
P04_0,exp4_4_DAY0,P04,4,1,0,cb,19,0.1078,0.0537,0.294227188,NA,NA,NA,NA,NA,NA,NA,NA
P05_0,exp4_5_DAY0,P05,5,1,0,water,28,0.1105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P06_0,exp4_6_DAY0,P06,6,1,0,lm,21,0.11,0.0536,0.281716418,NA,NA,NA,NA,NA,NA,NA,NA
P07_0,exp4_7_DAY0,P07,7,1,0,fly,1,0.1091,0.0543,0.346224678,NA,NA,NA,NA,NA,NA,NA,NA
P08_0,exp4_8_DAY0,P08,8,2,0,fly,5,0.1119,0.0546,NA,NA,NA,NA,NA,NA,NA,NA,NA
P09_0,exp4_9_DAY0,P09,9,2,0,ant,8,0.1139,0.0531,0.178907721,NA,NA,NA,NA,NA,NA,NA,NA
P10_0,exp4_10_DAY0,P10,10,2,0,cb,20,0.1074,0.0542,0.300738007,NA,NA,NA,NA,NA,NA,NA,NA
P11_0,exp4_11_DAY0,P11,11,2,0,lm,25,0.1094,0.0531,0.50094162,NA,NA,NA,NA,NA,NA,NA,NA
P12_0,exp4_12_DAY0,P12,12,2,0,pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P13_0,exp4_13_DAY0,P13,13,2,0,beetle,15,0.1078,0.0538,0.157992565,NA,NA,NA,NA,NA,NA,NA,NA
P14_0,exp4_14_DAY0,P14,14,2,0,water,27,0.1097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P15_0,exp4_15_DAY0,P15,15,3,0,lm,24,0.1114,0.0536,0.393656716,NA,NA,NA,NA,NA,NA,NA,NA
P16_0,exp4_16_DAY0,P16,16,3,0,cb,16,0.1107,0.0533,0.424015009,NA,NA,NA,NA,NA,NA,NA,NA
P17_0,exp4_17_DAY0,P17,17,3,0,water,30,0.1148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P18_0,exp4_18_DAY0,P18,18,3,0,pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P19_0,exp4_19_DAY0,P19,19,3,0,fly,4,0.1134,0.0536,0.369402985,NA,NA,NA,NA,NA,NA,NA,NA
P20_0,exp4_20_DAY0,P20,20,3,0,beetle,11,0.1074,0.0533,0.17260788,NA,NA,NA,NA,NA,NA,NA,NA
P21_0,exp4_21_DAY0,P21,21,3,0,ant,9,0.1143,0.0536,0.218283582,NA,NA,NA,NA,NA,NA,NA,NA
P22_0,exp4_22_DAY0,P22,22,4,0,beetle,13,0.1139,0.054,0.190740741,NA,NA,NA,NA,NA,NA,NA,NA
P23_0,exp4_23_DAY0,P23,23,4,0,lm,23,0.1133,0.0543,0.429097606,NA,NA,NA,NA,NA,NA,NA,NA
P24_0,exp4_24_DAY0,P24,24,4,0,cb,18,0.1133,0.0541,0.340110906,NA,NA,NA,NA,NA,NA,NA,NA
P25_0,exp4_25_DAY0,P25,25,4,0,fly,3,0.1117,0.0542,0.374538745,NA,NA,NA,NA,NA,NA,NA,NA
P26_0,exp4_26_DAY0,P26,26,4,0,pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P27_0,exp4_27_DAY0,P27,27,4,0,water,29,0.1107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P28_0,exp4_28_DAY0,P28,28,4,0,ant,10,0.1142,0.0531,0.161958569,NA,NA,NA,NA,NA,NA,NA,NA
P29_0,exp4_29_DAY0,P29,29,5,0,beetle,12,0.1124,0.0535,0.209345794,NA,NA,NA,NA,NA,NA,NA,NA
P30_0,exp4_30_DAY0,P30,30,5,0,ant,7,0.1104,0.053,0.160377358,NA,NA,NA,NA,NA,NA,NA,NA
P31_0,exp4_31_DAY0,P31,31,5,0,water,26,0.1112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P32_0,exp4_32_DAY0,P32,32,5,0,lm,22,0.1061,0.0532,0.368421053,NA,NA,NA,NA,NA,NA,NA,NA
P33_0,exp4_33_DAY0,P33,33,5,0,pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P34_0,exp4_34_DAY0,P34,34,5,0,cb,17,0.1074,0.0542,0.335793358,NA,NA,NA,NA,NA,NA,NA,NA
P35_0,exp4_35_DAY0,P35,35,5,0,fly,2,0.1097,0.0543,0.375690608,NA,NA,NA,NA,NA,NA,NA,NA
P01_7,exp4_1_DAY7,P01,1,1,7,ant,NA,NA,NA,NA,0.00291036,NA,150.9174104,NA,7487,11221,5,8.7445
P02_7,exp4_2_DAY7,P02,2,1,7,pos,NA,NA,NA,NA,0.00151575,NA,18.44625017,NA,1310,3049.5,5,0.597
P03_7,exp4_3_DAY7,P03,3,1,7,beetle,NA,NA,NA,NA,0.006329063,NA,211.6950846,NA,6073.5,10830.5,5,11.802
P04_7,exp4_4_DAY7,P04,4,1,7,cb,NA,NA,NA,NA,0.002845375,NA,448.8709205,NA,5018.5,6378.5,5,24.537
P05_7,exp4_5_DAY7,P05,5,1,7,water,NA,NA,NA,NA,0.000289367,NA,8.458771813,NA,598.5,1821,4.5,0.322
P06_7,exp4_6_DAY7,P06,6,1,7,lm,NA,NA,NA,NA,0.001355148,NA,288.3725856,NA,9667,12701.5,4.5,15.407
P07_7,exp4_7_DAY7,P07,7,1,7,fly,NA,NA,NA,NA,0.000409758,NA,225.7518316,NA,8764,12258.5,5.5,20.537
P08_7,exp4_8_DAY7,P08,8,2,7,fly,NA,NA,NA,NA,0.010686095,NA,848.869322,NA,7168.5,8577.5,7,NA
P09_7,exp4_9_DAY7,P09,9,2,7,ant,NA,NA,NA,NA,0.004364656,NA,243.9541761,NA,7046.5,11408.5,5,15.3145
P10_7,exp4_10_DAY7,P10,10,2,7,cb,NA,NA,NA,NA,0.000874948,NA,441.2702811,NA,9518.5,10998.5,6,42.147
P11_7,exp4_11_DAY7,P11,11,2,7,lm,NA,NA,NA,NA,0.005099978,NA,897.2164646,NA,3190,6101,7,30.5245
P12_7,exp4_12_DAY7,P12,12,2,7,pos,NA,NA,NA,NA,0.000185188,NA,4.743705875,NA,506.5,1813.5,5,0.4795
P13_7,exp4_13_DAY7,P13,13,2,7,beetle,NA,NA,NA,NA,0.002055396,NA,497.754629,NA,6325.5,8527.5,5,25.762
P14_7,exp4_14_DAY7,P14,14,2,7,water,NA,NA,NA,NA,0.000126491,NA,4.710270414,NA,223,708,4.5,0.3495
P15_7,exp4_15_DAY7,P15,15,3,7,lm,NA,NA,NA,NA,0.001037102,NA,300.3765819,NA,9118,11112,5.5,29.1595
P16_7,exp4_16_DAY7,P16,16,3,7,cb,NA,NA,NA,NA,0.015763333,NA,568.0155855,NA,2502,7352.5,7.5,36.252
P17_7,exp4_17_DAY7,P17,17,3,7,water,NA,NA,NA,NA,0.000238909,NA,9.222991874,NA,391,2054.5,4.5,0.3295
P18_7,exp4_18_DAY7,P18,18,3,7,pos,NA,NA,NA,NA,0.000288109,NA,2.204609032,NA,139,617.5,4.5,0.3545
P19_7,exp4_19_DAY7,P19,19,3,7,fly,NA,NA,NA,NA,0.004238808,NA,255.2239243,NA,6761.5,9522,5,49.737
P20_7,exp4_20_DAY7,P20,20,3,7,beetle,NA,NA,NA,NA,0.013144105,NA,169.1850273,NA,5393.5,10733,6.5,16.6795
P21_7,exp4_21_DAY7,P21,21,3,7,ant,NA,NA,NA,NA,0.000618863,NA,305.7014786,NA,4659,7151,4.5,26.1295
P22_7,exp4_22_DAY7,P22,22,4,7,beetle,NA,NA,NA,NA,0.004591634,NA,207.0706008,NA,40575,61432.5,6.5,20.322
P23_7,exp4_23_DAY7,P23,23,4,7,lm,NA,NA,NA,NA,0.001269323,NA,NA,NA,NA,NA,NA,0.2645
P24_7,exp4_24_DAY7,P24,24,4,7,cb,NA,NA,NA,NA,0.004585668,NA,484.2352471,NA,8314.5,12639.5,5,NA
P25_7,exp4_25_DAY7,P25,25,4,7,fly,NA,NA,NA,NA,0.000321257,NA,573.2086053,NA,10195,12288,6,20.0095
P26_7,exp4_26_DAY7,P26,26,4,7,pos,NA,NA,NA,NA,0.000200652,NA,2.775276409,NA,442.5,2177,4.5,0.3845
P27_7,exp4_27_DAY7,P27,27,4,7,water,NA,NA,NA,NA,0.000100941,NA,2.533901692,NA,145,537.5,5,0.352
P28_7,exp4_28_DAY7,P28,28,4,7,ant,NA,NA,NA,NA,0.001894848,NA,184.3689889,NA,6540,8888.5,5,12.7045
