sample_id,treatment,plant,sample,plant_block,day,length_cm,width_mm,keel_mm,shoulder_mm,wetmass_g,drymass_g
P01_49,ant,P01,1,1,49,21.9,51,26,29,3.47,0.83
P02_49,pos,P02,2,1,49,18.6,60,33,25,3.5,0.75
P03_49,beetle,P03,3,1,49,16.5,50,27,27,2.98,0.62
P04_49,cb,P04,4,1,49,17.7,44,23,22,2.39,0.49
P05_49,water,P05,5,1,49,19.2,55,29,31,3.9,0.77
P06_49,lm,P06,6,1,49,17.9,49,27,35,4.33,0.9
P07_49,fly,P07,7,1,49,16.9,50,27,31,3.69,0.79
P08_49,fly,P08,8,2,49,NA,NA,NA,NA,NA,NA
P09_49,ant,P09,9,2,49,17.9,41,21,23,2.41,0.53
P10_49,cb,P10,10,2,49,18.3,39,20,22,2.86,0.59
P11_49,lm,P11,11,2,49,18,40,15,21,2.71,0.55
P12_49,pos,P12,12,2,49,17.3,42,17,30,4.2,0.72
P13_49,beetle,P13,13,2,49,16.4,40,16,28,2.99,0.66
P14_49,water,P14,14,2,49,18,37,16,24,2.31,0.56
P15_49,lm,P15,15,3,49,14.7,42,21,22,1.5,0.36
P16_49,cb,P16,16,3,49,19.6,50,32,35,4.39,0.94
P17_49,water,P17,17,3,49,17.8,49,20,30,3.68,0.8
P18_49,pos,P18,18,3,49,15.6,42,24,27,2.7,0.55
P19_49,fly,P19,19,3,49,14.7,47,24,35,2.74,0.69
P20_49,beetle,P20,20,3,49,19.1,54,30,23,3.45,0.77
P21_49,ant,P21,21,3,49,18.4,50,22,29,3.18,0.72
P22_49,beetle,P22,22,4,49,17.5,52,27,27,3.55,0.79
P23_49,lm,P23,23,4,49,19.1,49,22,32,4.74,1.05
P24_49,cb,P24,24,4,49,16,43,19,21,2.32,0.56
P25_49,fly,P25,25,4,49,17.7,42,28,30,3.62,0.84
P26_49,pos,P26,26,4,49,19.4,56,30,33,4.61,0.99
P27_49,water,P27,27,4,49,18.8,62,35,32,4.82,1.1
P28_49,ant,P28,28,4,49,17.6,41,19,27,3.25,0.77
P29_49,beetle,P29,29,5,49,15.1,49,22,23,3.03,0.71
P30_49,ant,P30,30,5,49,13.7,39,18,26,2.71,0.59
P31_49,water,P31,31,5,49,15.1,42,23,29,2.88,0.64
P32_49,lm,P32,32,5,49,17.2,52,24,30,4.67,1
P33_49,pos,P33,33,5,49,13.5,38,23,22,2.02,0.49
P34_49,cb,P34,34,5,49,18.1,49,24,31,5.08,1.05
P35_49,fly,P35,35,5,49,13.3,44,21,24,2.33,0.54
