,Chrysomonad,Colpoda_AM,Colpoda_CA,Bodo_sp,Bodo_saltans,MT1,MT2,MT3,tetrahymena,yeast,Colpidium,MT5,MT4,Cyclidium,Euglena
P01_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P02_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P03_7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P04_7,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
P05_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07_7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P08_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P09_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P10_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11_7,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0
P12_7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
P13_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P14_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P15_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P16_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P17_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P18_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P19_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P20_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P22_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P23_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P24_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P25_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P26_7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
P27_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P28_7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
P29_7,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0
P30_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P31_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P32_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P33_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P34_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P35_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P01_14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
P02_14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P03_14,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0
P04_14,0,999,0,0,999,0,0,0,0,0,0,0,0,0,0
P05_14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P06_14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07_14,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0
P09_14,1,0,999,0,0,0,0,0,0,0,0,0,0,0,0
P10_14,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11_14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P12_14,0,0,999,0,1,0,0,0,0,0,0,0,0,0,0
P13_14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P14_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P15_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P16_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P17_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P18_14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P19_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P20_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P22_14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
P23_14,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0
P25_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P26_14,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
P27_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P28_14,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0
P29_14,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0
P30_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P31_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P32_14,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0
P33_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P34_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P35_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
