"","taxon","lfc_(Intercept)","lfc_treatmentbeetle","lfc_treatmentfly","se_(Intercept)","se_treatmentbeetle","se_treatmentfly","W_(Intercept)","W_treatmentbeetle","W_treatmentfly","p_(Intercept)","p_treatmentbeetle","p_treatmentfly","q_(Intercept)","q_treatmentbeetle","q_treatmentfly","diff_(Intercept)","diff_treatmentbeetle","diff_treatmentfly","passed_ss_(Intercept)","passed_ss_treatmentbeetle","passed_ss_treatmentfly"
"3","ca370e727ff21bdf404779023117d286",0.555065362410084,0.0156901460817594,-2.10246392591916,0.392135839851689,0.619398684783865,0.642463077403396,1.41549255640601,0.025331255082071,-3.27250545574784,0.178783780343588,0.980148272480231,0.00555817862799215,0.441701104378275,0.981159892819515,0.038907250395945,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"4","42a90f85f75e17da09d9ac1106b132f0",0.0282058093234735,1.28030199925088,-2.42329494353828,0.367605073226073,0.598860785748632,0.576340412268648,0.076728563825144,2.13789586781906,-4.20462437121053,0.940217280847514,0.0558089663358997,0.00147405305067466,0.963149409648673,0.213088780555253,0.0154775570320839,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"11","9dcd05e2f900431a5c267a4b853bc2ae",-1.00842650708853,-0.522302993318157,1.86276656700887,0.266436720262613,0.527069760294175,0.884515440513815,-3.78486308529312,-0.990956098537397,2.10597405278396,0.00302149528544613,0.343004747820875,0.0589868797268378,0.0383927762526784,0.649230239095302,0.190572996040553,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"14","1253c7a4636562f33ebc360882fa65da",-0.884480024216314,1.33541745397868,1.56028723951392,0.224468946441097,0.540595295391001,0.585736611067177,-3.94032242873475,2.47027206001267,2.66380350832291,0.00231075277839624,0.0311064183955087,0.0220365209054667,0.0383927762526784,0.145163285845707,0.0771278231691336,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"15","9154281b5cef5092ba03398458099017",1.15666615319385,-0.562177900499981,-3.33295589549513,0.4626205553284,0.681687797668831,0.648220653998453,2.50024807560219,-0.824685292039057,-5.14169962795274,0.0314334813596722,0.428782984299135,0.000436680979458637,0.132583123495358,0.687410045203531,0.00917030056863138,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"17","46edd9a681a1c394007859666f76d477",-0.645248390090314,2.30420282051147,0.886107821385429,0.308597025220835,0.579326575319825,0.609918431043894,-2.09090930033615,3.97738152999352,1.45283004461568,0.0502095376637362,0.000806819823212428,0.162587418190732,0.191709143806993,0.016943216287461,0.401686562588868,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"21","1c2003e39498b8caefe6e1f3a9f36476",-0.299075275252923,0.379894127039196,2.90671453558224,0.283444800277671,0.587136757751406,0.525747849836268,-1.05514468764267,0.647028349058063,5.52872358201269,0.307032339827181,0.526788072636239,4.58099354427659e-05,0.644767913637079,0.734472554125006,0.00192401728859617,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"22","20b3df08cd5fac2be26a2928155bab69",-1.53809597465916,2.32732302356959,1.69589831236876,0.220803306819285,0.609136897512318,0.493760594649146,-6.96591005277837,3.82068962342332,3.43465706001472,1.50460507086884e-05,0.00243642767672657,0.00494298038299178,0.000631934129764915,0.0341099874741719,0.038907250395945,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"38","f8aeec3c1ff0f4e7e1c829e4db0618d9",0.601603610435674,0.268072501470198,-2.33925031003005,0.240856631068236,0.677673243054928,0.50824717763529,2.49776644208411,0.395577816030829,-4.60258396497906,0.0315674103560375,0.700724132409033,0.000976249983683609,0.132583123495358,0.835987720676405,0.0136674997715705,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"39","b4289ab0a9a00034c1fbce477b2c4ded",-1.02811417954924,2.7850573579085,0.538828557184796,0.298992867750456,0.596906912031883,0.588836965744144,-3.43859098474322,4.66581522473598,0.915072572768678,0.00365645488120747,0.000304598851859944,0.374629953983757,0.0383927762526784,0.0127931517781176,0.655602419471575,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
